,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
43,2015-09-12,Man United,Liverpool,3,1,H,3,2,2,3,1.4,1.4,L,D,W,W,L,D,W,W,4.0,6.0,5.0,LDWW,LDWW,7,7,0,0,0,0,0,0,0,0,0.2,-0.2,0.0,0.0,-2.0
44,2015-09-12,Norwich,Bournemouth,3,1,H,5,5,8,6,0.8,0.8,L,D,W,L,D,W,L,L,20.0,20.0,5.0,LDWL,DWLL,4,4,0,0,0,0,0,0,0,0,-0.6,-0.2,0.0,0.0,0.0
45,2015-09-12,Watford,Swansea,1,0,H,2,7,4,4,0.6,1.6,L,D,D,D,W,D,W,D,20.0,8.0,5.0,LDDD,WDWD,3,8,0,0,0,0,0,0,0,0,-0.4,0.6,-1.0,-1.0,12.0
46,2015-09-12,West Brom,Southampton,0,0,NH,3,5,6,5,0.8,1.0,W,L,D,L,W,D,L,D,13.0,7.0,5.0,WLDL,WDLD,4,5,0,0,0,0,0,0,0,0,-0.6,0.0,-0.2,-0.2,6.0
47,2015-09-13,Leicester,Aston Villa,3,2,H,8,4,5,5,1.6,0.8,D,D,W,W,D,L,L,W,14.0,17.0,5.0,DDWW,DLLW,8,4,0,0,0,0,0,0,0,0,0.6,-0.2,0.8,0.8,-3.0
48,2015-09-13,Sunderland,Tottenham,0,1,NH,6,3,10,4,0.4,0.6,D,D,L,L,D,D,D,L,16.0,5.0,5.0,DDLL,DDDL,2,3,0,0,0,0,0,0,0,0,-0.8,-0.2,-0.2,-0.2,11.0
49,2015-09-14,West Ham,Newcastle,2,0,H,9,2,6,5,1.2,0.4,W,L,L,W,L,D,L,D,12.0,15.0,5.0,WLLW,LDLD,6,2,0,0,0,0,0,0,0,0,0.6,-0.6,0.8,0.8,-3.0
50,2015-09-19,Aston Villa,West Brom,0,1,NH,6,3,8,6,0.6666666666666666,0.8333333333333334,L,D,L,L,D,W,L,D,17.0,13.0,6.0,LDLL,DWLD,1,5,0,0,0,0,0,0,0,0,-0.3333333333333333,-0.5,-0.16666666666666666,-0.6666666666666666,4.0
51,2015-09-19,Bournemouth,Sunderland,2,0,H,6,6,9,11,0.6666666666666666,0.3333333333333333,L,D,W,L,L,D,D,L,20.0,16.0,6.0,LDWL,LDDL,4,2,0,0,0,0,0,0,0,0,-0.5,-0.8333333333333334,0.3333333333333333,0.3333333333333333,4.0
52,2015-09-19,Chelsea,Arsenal,2,0,H,7,5,12,3,0.6666666666666666,1.6666666666666667,L,L,W,L,W,W,D,W,1.0,3.0,6.0,LLWL,WWDW,3,10,0,0,0,0,0,0,0,0,-0.8333333333333334,0.3333333333333333,-1.0,-1.1666666666666667,-2.0
53,2015-09-19,Man City,West Ham,1,2,NH,11,11,0,6,2.5,1.5,W,W,W,W,W,W,L,L,2.0,12.0,6.0,WWWW,WWLL,12,6,1,0,0,0,0,0,0,0,1.8333333333333333,0.8333333333333334,1.0,1.0,-10.0
54,2015-09-19,Newcastle,Watford,1,2,NH,2,3,7,4,0.3333333333333333,1.0,L,L,D,L,W,L,D,D,15.0,20.0,6.0,LLDL,WLDD,1,5,0,0,0,0,0,0,0,0,-0.8333333333333334,-0.16666666666666666,-0.6666666666666666,-0.6666666666666666,-5.0
55,2015-09-19,Stoke,Leicester,2,2,NH,3,11,7,7,0.3333333333333333,1.8333333333333333,L,L,D,D,W,D,D,W,9.0,14.0,6.0,LLDD,WDDW,2,8,0,0,0,0,0,0,0,0,-0.6666666666666666,0.6666666666666666,-1.5,-1.0,-5.0
56,2015-09-19,Swansea,Everton,0,0,NH,7,8,5,5,1.3333333333333333,1.3333333333333333,L,W,D,W,W,D,L,W,8.0,11.0,6.0,LWDW,WDLW,7,7,0,0,0,0,0,0,0,0,0.3333333333333333,0.5,0.0,0.0,-3.0
57,2015-09-20,Liverpool,Norwich,1,1,NH,3,8,6,9,1.1666666666666667,1.1666666666666667,L,L,D,W,W,L,D,W,6.0,20.0,6.0,LLDW,WLDW,4,7,0,0,0,0,0,0,0,0,-0.5,-0.16666666666666666,0.0,-0.5,-14.0
58,2015-09-20,Southampton,Man United,2,3,NH,5,6,5,3,1.0,1.6666666666666667,D,W,D,L,W,L,D,W,7.0,4.0,6.0,DWDL,WLDW,5,7,0,0,0,0,0,0,0,0,0.0,0.5,-0.6666666666666666,-0.3333333333333333,3.0
59,2015-09-20,Tottenham,Crystal Palace,1,0,H,4,8,4,6,1.0,1.5,W,D,D,D,L,W,W,L,5.0,10.0,6.0,WDDD,LWWL,6,6,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,-0.5,0.0,-5.0
60,2015-09-26,Leicester,Arsenal,2,5,NH,13,5,9,5,1.7142857142857142,1.4285714285714286,D,W,D,D,L,W,W,D,14.0,3.0,7.0,DWDD,LWWD,6,7,0,0,0,0,0,0,0,0,0.5714285714285714,0.0,0.2857142857142857,-0.14285714285714285,11.0
61,2015-09-26,Liverpool,Aston Villa,3,2,H,4,6,7,9,1.1428571428571428,0.5714285714285714,D,L,L,D,L,L,D,L,6.0,17.0,7.0,DLLD,LLDL,2,1,0,0,0,0,0,0,0,0,-0.42857142857142855,-0.42857142857142855,0.5714285714285714,0.14285714285714285,-11.0
62,2015-09-26,Man United,Sunderland,3,0,H,9,6,5,13,1.8571428571428572,0.2857142857142857,W,W,L,D,L,L,D,D,4.0,16.0,7.0,WWLD,LLDD,7,2,0,0,0,0,0,0,0,0,0.5714285714285714,-1.0,1.5714285714285714,0.7142857142857143,-12.0
63,2015-09-26,Newcastle,Chelsea,2,2,NH,3,9,9,12,0.2857142857142857,1.0,L,L,L,D,W,L,L,W,15.0,1.0,7.0,LLLD,WLLW,1,6,0,0,0,0,0,0,0,0,-0.8571428571428571,-0.42857142857142855,-0.7142857142857143,-0.7142857142857143,14.0
64,2015-09-26,Southampton,Swansea,3,1,H,7,7,8,5,0.8571428571428571,1.2857142857142858,L,D,W,D,D,L,W,D,7.0,8.0,7.0,LDWD,DLWD,5,5,0,0,0,0,0,0,0,0,-0.14285714285714285,0.2857142857142857,-0.42857142857142855,0.0,-1.0
65,2015-09-26,Stoke,Bournemouth,2,1,H,5,8,9,9,0.42857142857142855,1.0,D,L,L,D,W,L,D,W,9.0,20.0,7.0,DLLD,WLDW,2,7,0,0,0,0,0,0,0,0,-0.5714285714285714,-0.14285714285714285,-0.5714285714285714,-0.7142857142857143,-11.0
66,2015-09-26,Tottenham,Man City,4,1,H,5,12,4,2,1.2857142857142858,2.142857142857143,W,W,D,D,L,W,W,W,5.0,2.0,7.0,WWDD,LWWW,8,9,0,0,0,0,1,0,0,0,0.14285714285714285,1.4285714285714286,-0.8571428571428571,-0.14285714285714285,3.0
67,2015-09-26,West Ham,Norwich,2,2,NH,13,9,7,10,1.7142857142857142,1.1428571428571428,W,W,W,L,D,W,L,D,12.0,20.0,7.0,WWWL,DWLD,9,5,0,0,0,0,0,0,0,0,0.8571428571428571,-0.14285714285714285,0.5714285714285714,0.5714285714285714,-8.0
68,2015-09-27,Watford,Crystal Palace,0,1,NH,5,8,5,7,1.2857142857142858,1.2857142857142858,W,W,L,D,L,L,W,W,20.0,10.0,7.0,WWLD,LLWW,7,6,0,0,0,0,0,0,0,0,0.0,0.14285714285714285,0.0,0.14285714285714285,10.0
69,2015-09-28,West Brom,Everton,2,3,NH,4,8,6,5,1.1428571428571428,1.2857142857142858,W,D,W,L,D,W,D,L,13.0,11.0,7.0,WDWL,DWDL,7,5,0,0,0,0,0,0,0,0,-0.2857142857142857,0.42857142857142855,-0.14285714285714285,0.2857142857142857,2.0
70,2015-10-03,Aston Villa,Stoke,0,1,NH,8,7,12,10,0.5,0.75,L,L,L,D,W,D,L,L,17.0,9.0,8.0,LLLD,WDLL,1,4,0,0,0,0,0,0,0,0,-0.5,-0.375,-0.25,-0.375,8.0
71,2015-10-03,Bournemouth,Watford,1,1,NH,9,5,11,6,0.875,1.125,L,W,L,D,L,W,W,L,20.0,20.0,8.0,LWLD,LWWL,4,6,0,0,0,0,0,0,0,0,-0.25,-0.125,-0.25,-0.25,0.0
72,2015-10-03,Chelsea,Southampton,1,3,NH,11,10,14,9,1.0,1.125,D,W,L,L,W,L,D,W,1.0,7.0,8.0,DWLL,WLDW,4,7,0,0,0,0,0,0,0,0,-0.375,0.125,-0.125,-0.375,-6.0
73,2015-10-03,Crystal Palace,West Brom,2,0,H,9,6,7,9,1.5,1.0,W,L,L,W,L,W,D,W,10.0,13.0,8.0,WLLW,LWDW,6,7,0,0,0,0,0,0,0,0,0.25,-0.375,0.5,-0.125,-3.0
74,2015-10-03,Man City,Newcastle,6,1,H,13,5,6,11,1.875,0.375,L,L,W,W,D,L,L,L,2.0,15.0,8.0,LLWW,DLLL,6,1,0,0,0,0,0,0,1,0,0.875,-0.75,1.5,0.625,-13.0
75,2015-10-03,Norwich,Leicester,1,2,NH,11,15,12,14,1.125,1.5,D,D,W,L,L,D,W,D,20.0,14.0,8.0,DDWL,LDWD,5,5,0,0,0,0,0,0,0,0,-0.125,0.125,-0.375,0.0,6.0
76,2015-10-03,Sunderland,West Ham,2,2,NH,6,15,16,9,0.25,1.625,L,L,L,D,D,W,W,W,16.0,12.0,8.0,LLLD,DWWW,1,10,0,0,0,0,1,0,0,0,-1.25,0.75,-1.375,-1.125,4.0
77,2015-10-04,Arsenal,Man United,3,0,H,10,12,7,5,1.625,2.0,W,L,W,W,W,W,W,L,3.0,4.0,8.0,WLWW,WWWL,9,9,0,0,0,0,0,0,0,0,0.375,0.875,-0.375,0.0,-1.0
78,2015-10-04,Everton,Liverpool,1,1,NH,11,7,7,9,1.5,1.375,W,D,W,D,W,D,L,L,11.0,6.0,8.0,WDWD,WDLL,8,4,0,0,0,0,0,0,0,0,0.5,-0.25,0.125,0.5,5.0
79,2015-10-04,Swansea,Tottenham,2,2,NH,8,9,8,5,1.125,1.5,L,D,L,W,W,W,W,D,8.0,5.0,8.0,LDLW,WWWD,4,10,0,0,0,0,0,0,0,0,0.0,0.5,-0.375,-0.75,3.0
80,2015-10-17,Chelsea,Aston Villa,2,0,H,12,8,17,13,0.8888888888888888,0.4444444444444444,L,D,W,L,L,L,L,L,1.0,17.0,9.0,LDWL,LLLL,4,0,0,0,0,0,0,0,1,0,-0.5555555555555556,-0.5555555555555556,0.4444444444444444,0.4444444444444444,-16.0
81,2015-10-17,Crystal Palace,West Ham,1,3,NH,11,17,7,11,1.6666666666666667,1.5555555555555556,W,W,L,L,D,D,W,W,10.0,12.0,9.0,WWLL,DDWW,6,8,0,0,0,0,0,0,0,0,0.4444444444444444,0.6666666666666666,0.1111111111111111,-0.2222222222222222,-2.0
82,2015-10-17,Everton,Man United,0,3,NH,12,12,8,8,1.4444444444444444,1.7777777777777777,D,W,D,W,L,W,W,W,11.0,4.0,9.0,DWDW,LWWW,8,9,0,0,0,0,1,0,0,0,0.4444444444444444,0.4444444444444444,-0.3333333333333333,-0.1111111111111111,7.0
83,2015-10-17,Man City,Bournemouth,5,1,H,19,10,7,12,2.0,0.8888888888888888,W,L,L,W,D,L,W,L,2.0,20.0,9.0,WLLW,DLWL,6,4,0,0,0,0,0,0,0,0,1.3333333333333333,-0.2222222222222222,1.1111111111111112,0.2222222222222222,-18.0
84,2015-10-17,Southampton,Leicester,2,2,NH,13,17,10,15,1.3333333333333333,1.6666666666666667,W,W,L,D,W,L,D,W,7.0,14.0,9.0,WWLD,WLDW,7,7,0,0,0,0,0,0,0,0,0.3333333333333333,0.2222222222222222,-0.3333333333333333,0.0,-7.0
85,2015-10-17,Tottenham,Liverpool,0,0,NH,11,8,7,10,1.4444444444444444,1.3333333333333333,D,W,W,W,D,W,D,L,5.0,6.0,9.0,DWWW,DWDL,10,5,1,0,0,0,0,0,0,0,0.4444444444444444,-0.2222222222222222,0.1111111111111111,0.5555555555555556,-1.0
86,2015-10-17,Watford,Arsenal,0,3,NH,6,13,7,7,1.1111111111111112,1.7777777777777777,D,L,W,W,W,W,L,W,20.0,3.0,9.0,DLWW,WWLW,7,9,0,0,0,0,0,0,0,0,-0.1111111111111111,0.6666666666666666,-0.6666666666666666,-0.2222222222222222,17.0
87,2015-10-17,West Brom,Sunderland,1,0,H,6,8,11,18,0.8888888888888888,0.3333333333333333,L,L,W,D,D,L,L,L,13.0,16.0,9.0,LLWD,DLLL,4,1,0,0,0,0,0,0,1,0,-0.5555555555555556,-1.1111111111111112,0.5555555555555556,0.3333333333333333,-3.0
88,2015-10-18,Newcastle,Norwich,6,2,H,6,12,17,14,0.3333333333333333,1.0,L,D,L,L,L,D,D,W,15.0,20.0,9.0,LDLL,LDDW,1,5,0,0,0,0,0,0,0,0,-1.2222222222222223,-0.2222222222222222,-0.6666666666666666,-0.4444444444444444,-5.0
89,2015-10-19,Swansea,Stoke,0,1,NH,10,8,10,10,1.1111111111111112,1.0,D,L,D,L,W,W,D,L,8.0,9.0,9.0,DLDL,WWDL,2,7,0,0,0,0,0,0,0,0,0.0,-0.2222222222222222,0.1111111111111111,-0.5555555555555556,-1.0
90,2015-10-24,Arsenal,Everton,2,1,H,16,12,7,11,1.9,1.3,W,W,W,L,L,D,W,D,3.0,11.0,10.0,WWWL,LDWD,9,5,0,0,0,0,0,0,0,0,0.9,0.1,0.6,0.4,-8.0
91,2015-10-24,Aston Villa,Swansea,1,2,NH,8,10,15,11,0.4,1.0,L,L,L,L,L,D,L,D,17.0,8.0,10.0,LLLL,LDLD,0,2,0,0,1,0,0,0,0,0,-0.7,-0.1,-0.6,-0.2,9.0
92,2015-10-24,Leicester,Crystal Palace,1,0,H,19,12,17,10,1.6,1.5,D,W,L,D,L,W,W,L,14.0,10.0,10.0,DWLD,LWWL,5,6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,-0.1,4.0
93,2015-10-24,Norwich,West Brom,0,1,NH,14,7,20,11,0.9,1.1,L,L,D,D,W,L,L,W,20.0,13.0,10.0,LLDD,WLLW,2,6,0,0,0,0,0,0,0,0,-0.6,-0.4,-0.2,-0.4,7.0
94,2015-10-24,Stoke,Watford,0,2,NH,9,6,10,10,1.2,1.0,W,W,W,D,L,D,L,W,9.0,20.0,10.0,WWWD,LDLW,10,4,0,0,0,0,0,0,0,0,-0.1,-0.4,0.2,0.6,-11.0
